galaxy,distance_method,distance_group,median_inclination_deg,inclination_group,n_points,included
CamB,2,non_hubble,65.0,high_inc,9,True
D512-2,1,hubble,56.0,low_inc,4,True
D564-8,2,non_hubble,63.0,high_inc,6,True
D631-7,2,non_hubble,59.0,low_inc,16,True
DDO064,1,hubble,60.0,high_inc,14,True
DDO154,2,non_hubble,64.0,high_inc,12,True
DDO161,1,hubble,70.0,high_inc,31,True
DDO168,2,non_hubble,63.0,high_inc,10,True
DDO170,1,hubble,66.0,high_inc,8,True
ESO079-G014,1,hubble,79.0,high_inc,15,True
ESO116-G012,1,hubble,74.0,high_inc,15,True
ESO444-G084,2,non_hubble,32.0,low_inc,7,True
ESO563-G021,1,hubble,83.0,high_inc,30,True
F563-1,1,hubble,25.0,low_inc,17,True
F563-V2,1,hubble,29.0,low_inc,10,True
F565-V2,1,hubble,60.0,high_inc,7,True
F568-1,1,hubble,26.0,low_inc,12,True
F568-3,1,hubble,40.0,low_inc,18,True
F568-V1,1,hubble,40.0,low_inc,15,True
F571-8,1,hubble,85.0,high_inc,13,True
F571-V1,1,hubble,30.0,low_inc,7,True
F574-1,1,hubble,65.0,high_inc,14,True
F579-V1,1,hubble,26.0,low_inc,14,True
F583-1,1,hubble,63.0,high_inc,25,True
F583-4,1,hubble,55.0,low_inc,12,True
IC2574,2,non_hubble,75.0,high_inc,34,True
IC4202,1,hubble,90.0,high_inc,32,True
KK98-251,1,hubble,59.0,low_inc,15,True
NGC0024,2,non_hubble,64.0,high_inc,29,True
NGC0055,2,non_hubble,77.0,high_inc,21,True
NGC0100,1,hubble,89.0,high_inc,21,True
NGC0247,2,non_hubble,74.0,high_inc,26,True
NGC0289,1,hubble,46.0,low_inc,28,True
NGC0300,2,non_hubble,42.0,low_inc,25,True
NGC0801,1,hubble,80.0,high_inc,13,True
NGC0891,2,non_hubble,90.0,high_inc,18,True
NGC1003,1,hubble,67.0,high_inc,36,True
NGC1090,1,hubble,64.0,high_inc,24,True
NGC2403,2,non_hubble,63.0,high_inc,73,True
NGC2683,2,non_hubble,80.0,high_inc,11,True
NGC2841,3,non_hubble,76.0,high_inc,50,True
NGC2915,2,non_hubble,56.0,low_inc,30,True
NGC2955,1,hubble,56.0,low_inc,24,True
NGC2976,2,non_hubble,61.0,high_inc,27,True
NGC2998,1,hubble,58.0,low_inc,13,True
NGC3109,2,non_hubble,70.0,high_inc,25,True
NGC3198,3,non_hubble,73.0,high_inc,43,True
NGC3521,1,hubble,75.0,high_inc,41,True
NGC3726,4,non_hubble,53.0,low_inc,12,True
NGC3741,2,non_hubble,70.0,high_inc,21,True
NGC3769,4,non_hubble,70.0,high_inc,12,True
NGC3877,4,non_hubble,76.0,high_inc,13,True
NGC3893,4,non_hubble,49.0,low_inc,10,True
NGC3917,4,non_hubble,79.0,high_inc,17,True
NGC3949,4,non_hubble,55.0,low_inc,7,True
NGC3953,4,non_hubble,62.0,high_inc,8,True
NGC3972,4,non_hubble,77.0,high_inc,10,True
NGC3992,5,non_hubble,56.0,low_inc,9,True
NGC4010,4,non_hubble,89.0,high_inc,12,True
NGC4013,4,non_hubble,89.0,high_inc,36,True
NGC4051,4,non_hubble,49.0,low_inc,7,True
NGC4068,2,non_hubble,44.0,low_inc,6,True
NGC4085,4,non_hubble,82.0,high_inc,7,True
NGC4088,4,non_hubble,69.0,high_inc,12,True
NGC4100,4,non_hubble,73.0,high_inc,24,True
NGC4138,4,non_hubble,53.0,low_inc,7,True
NGC4157,4,non_hubble,82.0,high_inc,17,True
NGC4183,4,non_hubble,82.0,high_inc,23,True
NGC4214,2,non_hubble,15.0,low_inc,14,True
NGC4217,4,non_hubble,86.0,high_inc,19,True
NGC4559,1,hubble,67.0,high_inc,32,True
NGC5005,5,non_hubble,68.0,high_inc,18,True
NGC5033,1,hubble,66.0,high_inc,22,True
NGC5055,2,non_hubble,55.0,low_inc,28,True
NGC5371,1,hubble,53.0,low_inc,19,True
NGC5585,1,hubble,51.0,low_inc,24,True
NGC5907,2,non_hubble,88.0,high_inc,19,True
NGC6015,1,hubble,60.0,high_inc,44,True
NGC6195,1,hubble,62.0,high_inc,23,True
NGC6503,2,non_hubble,74.0,high_inc,31,True
NGC6674,1,hubble,54.0,low_inc,15,True
NGC6789,2,non_hubble,43.0,low_inc,4,True
NGC6946,2,non_hubble,38.0,low_inc,58,True
NGC7331,3,non_hubble,75.0,high_inc,36,True
